#slide_no, emotion_on_click,     avg_emo,      elapsed_time,               image_description,          image_no,           valence_mean(SD),         arousal_mean(SD)
1,             -1,                    -31,          0.2463822066783905,        mutilation,                        3062,                  1.87(1.31),               5.78(2.57)
2,             -1,                    -18,          0.08880770206451416,        kid_cry,                        2301,                  2.78(1.38),               4.57(1.96)
3,             -1,                    -4,          0.09682780504226685,        baby,                        2070,                  8.17(1.46),               4.51(2.74)
4,             -1,                    -29,          0.0975697934627533,        mickey,                        1999,                  7.43(1.47),               4.77(2.40)
5,             -1,                    -33,          0.10960879921913147,        kid,                        2035,                  7.52(1.33),               3.69(2.11)
6,             -1,                    -44,          0.14479568600654602,        mutilation,                        3150,                  2.26(1.57),               6.55(2.20)
7,             -1,                    -41,          0.15039661526679993,        romance,                        4603,                  7.10(1.58),               4.89(2.26)
8,             -1,                    -46,          0.15519830584526062,        romance,                        4622,                  7.46(1.61),               4.11(2.30)
9,             -1,                    -40,          0.1328129768371582,        mutilation,                        3068,                  1.80(1.56),               6.77(2.49)
10,             -1,                    -42,          0.13841181993484497,        hunters,                        2688,                  2.73(2.07),               5.98(2.22)
