#slide_no, emotion_on_click,     avg_emo,      elapsed_time,               image_description,          image_no,           valence_mean(SD),         arousal_mean(SD)
1,             -1,                    -128,          0.49118709564208984,        hunters,                        2688,                  2.73(2.07),               5.98(2.22)
2,             -1,                    -112,          0.4463931918144226,        romance,                        4622,                  7.46(1.61),               4.11(2.30)
3,             -1,                    -148,          0.494405597448349,        mutilation,                        3062,                  1.87(1.31),               5.78(2.57)
4,             -1,                    -132,          0.43920329213142395,        mutilation,                        3068,                  1.80(1.56),               6.77(2.49)
5,             -1,                    -200,          0.6688142120838165,        mutilation,                        3150,                  2.26(1.57),               6.55(2.20)
6,             -1,                    -109,          0.48885980248451233,        baby,                        2070,                  8.17(1.46),               4.51(2.74)
7,             -1,                    -58,          0.48074018955230713,        romance,                        4603,                  7.10(1.58),               4.89(2.26)
8,             -1,                    -119,          0.3960130214691162,        kid_cry,                        2301,                  2.78(1.38),               4.57(1.96)
9,             -1,                    -118,          0.41276779770851135,        mickey,                        1999,                  7.43(1.47),               4.77(2.40)
10,             -1,                    -142,          0.5136080980300903,        kid,                        2035,                  7.52(1.33),               3.69(2.11)
