#slide_no, emotion_on_click,     avg_emo,      elapsed_time,               image_description,          image_no,           valence_mean(SD),         arousal_mean(SD)
1,             -1,                    -497,          1.6983481049537659,        romance,                        4603,                  7.10(1.58),               4.89(2.26)
2,             -1,                    -127,          0.4248148798942566,        hunters,                        2688,                  2.73(2.07),               5.98(2.22)
3,             -1,                    -58,          0.2863997220993042,        mutilation,                        3062,                  1.87(1.31),               5.78(2.57)
4,             -1,                    -74,          0.29922717809677124,        romance,                        4622,                  7.46(1.61),               4.11(2.30)
5,             -1,                    -76,          0.25275951623916626,        mickey,                        1999,                  7.43(1.47),               4.77(2.40)
6,             -1,                    -84,          0.280813604593277,        kid_cry,                        2301,                  2.78(1.38),               4.57(1.96)
7,             -1,                    -70,          0.23197710514068604,        mutilation,                        3150,                  2.26(1.57),               6.55(2.20)
8,             -1,                    -44,          0.1616273820400238,        baby,                        2070,                  8.17(1.46),               4.51(2.74)
9,             -1,                    -24,          0.1872026026248932,        mutilation,                        3068,                  1.80(1.56),               6.77(2.49)
10,             -1,                    20,          0.18639829754829407,        kid,                        2035,                  7.52(1.33),               3.69(2.11)
