#slide_no, emotion_on_click,     avg_emo,      elapsed_time,               image_description,          image_no,           valence_mean(SD),         arousal_mean(SD)
1,             1,                    157,          0.6238631010055542,        romance,                        4622,                  7.46(1.61),               4.11(2.30)
2,             1,                    128,          0.4248132109642029,        mickey,                        1999,                  7.43(1.47),               4.77(2.40)
3,             1,                    160,          0.540815681219101,        romance,                        4603,                  7.10(1.58),               4.89(2.26)
4,             1,                    153,          0.5103868246078491,        kid,                        2035,                  7.52(1.33),               3.69(2.11)
5,             -1,                    13,          0.4839760959148407,        kid_cry,                        2301,                  2.78(1.38),               4.57(1.96)
6,             1,                    164,          0.7104181051254272,        hunters,                        2688,                  2.73(2.07),               5.98(2.22)
7,             1,                    140,          0.4703952968120575,        baby,                        2070,                  8.17(1.46),               4.51(2.74)
8,             1,                    90,          0.48080548644065857,        mutilation,                        3150,                  2.26(1.57),               6.55(2.20)
9,             1,                    91,          0.32480329275131226,        mutilation,                        3062,                  1.87(1.31),               5.78(2.57)
10,             -1,                    97,          0.4359908103942871,        mutilation,                        3068,                  1.80(1.56),               6.77(2.49)
